"x","y"
3829694.92134794,1024499.40080467
3815794.49540313,1023558.34133127
3860591.21107577,1023771.55323647
3869184.833377,1023727.52435187
3934762.38316337,1023769.08830618
3950922.85197474,1023864.82745525
3750150.06735175,1022431.36511408
3794387.03520254,1022796.21134351
3838885.22968219,1022400.67326841
3732458.29487207,1021632.31925931
3886942.81384062,1020604.46913132
3887875.19151067,1021140.67475779
3732597.24787517,1020156.5996134
3866414.36940229,1019499.30961247
3855795.22243663,1019992.32280115
3870035.14657205,1019951.44075673
3892341.96670576,1019726.42271688
3939893.72851014,1019474.22255786
3808137.45261835,1017390.28100225
3852568.51126097,1018398.27407437
3858159.28195672,1017494.924136
3910999.23434637,1017523.48610441
3735335.55445956,1016301.30671315
3790159.21038173,1017075.70154493
3898920.01032938,1016180.63932204
3786915.66415486,1015243.86518459
3983825.92447324,1015929.98028215
3855910.81752988,1014483.64251419
3863475.01653825,1015224.76962398
3902580.68442724,1014348.77672357
3907590.53108932,1014433.11585381
3929215.80296462,1014302.99990701
3943226.63824863,1014706.4381143
3702253.74173752,1013749.93311067
3846676.44925845,1013667.86728318
3876788.23588192,1014073.04989887
3905503.4541148,1014419.46263684
3925276.42227846,1013565.48474989
3758080.27365601,1013214.52631699
3793746.08708206,1012777.15083712
3872505.28916487,1013024.17336515
3931436.24314811,1012990.20534668
3729070.77314869,1010730.51270582
3740234.81599909,1009817.07966694
3766458.593422,1010317.02492252
3796079.328698,1011494.17445353
3833268.82041696,1010401.03721661
3855708.93353261,1010796.15475584
3935089.18575768,1010972.2880936
3967643.04147274,1009856.90782334
3844671.35342575,1009722.5061857
3850873.83519522,1009787.6884294
3958675.50837635,1009853.04510461
3880333.75246345,1008036.20666156
3906566.91239982,1009001.08139823
3804203.4395607,1007910.94952778
3813968.76356209,1008077.58616258
3821085.54293653,1008508.56785906
3944840.25545876,1006722.26691758
3988535.84003892,1008613.99879908
3800606.12230186,1005609.47343808
3836281.47525165,1006979.73689534
3839454.12487667,1007760.88487598
3821800.72424769,1006661.154832
3835345.9054268,1006259.45058258
3865497.42268546,1006417.7691369
3869071.97349846,1006448.82698104
3870396.3240972,1005568.00508162
3880336.77614618,1005719.32788559
3819491.94924201,1004466.60397985
3883866.13558171,1004746.63419858
3809829.32731515,1004906.29573899
3826196.65158323,1004322.57381034
3894450.07374402,1003180.08595726
3936828.27450545,1003944.47597602
3853422.77098042,1002197.05835572
3894820.51020657,1002335.84956553
3751809.82092594,1002396.31949664
3793527.96798009,1001111.55922473
3882813.60144065,1001943.39425322
3995739.11222679,1001671.58053362
3762212.49230447,1000571.33850859
3899820.31775881,1001247.31446975
3814820.7737089,999794.552952131
3819025.96711233,1001016.86732099
3962852.64831227,999660.854701845
3708675.70464372,998296.838717016
3825082.7518252,999146.178744657
3816989.8803914,996613.183070926
3925105.73796924,997850.764563741
3899646.76380694,996246.411531057
3755215.34325384,995919.335667322
3775229.92822406,995749.274174276
3776900.01161127,995186.800931915
3782094.94658836,993309.746620093
3869602.73971426,994995.022288203
3889225.86802902,994887.136592194
3902274.50837932,995149.158516842
3992738.25070449,994746.227507565
3734808.81842452,993737.565910373
3750114.14616632,993444.657288713
3775930.80116679,993542.873559301
3877555.88459211,993129.105372289
3863300.89371174,992683.07564327
3874974.29083973,992938.758090541
3879705.62164142,993073.982385059
3888107.99657555,993530.044962702
3934222.87587418,992564.89746148
3702981.85941836,991761.36623289
3919082.32727251,991756.2113088
3738214.23542374,991746.857386643
3857605.23702264,991115.790942849
3881965.10041117,991313.954212015
3896168.50742118,991431.519203713
3767482.10651717,990131.205793744
3954889.94333848,990143.949893618
3961203.5258244,990883.634945285
3964807.08511102,989947.963863147
3924334.34032069,988459.102332053
3738325.14901512,988354.15172595
3960747.99238339,988761.05169687
3897462.66981377,986527.780682327
3932801.40812748,986914.312728246
3951802.49015786,986990.149848468
3837134.14628763,985826.003476001
3842851.46596593,986159.363968667
3869085.05768904,986744.350969131
3888411.89495655,985307.504161907
3925669.97637674,986199.374140676
3975171.94278301,984802.715880046
3730111.33096549,985007.83645443
3740653.65885986,984827.446004153
3839106.12571206,984174.757537748
3865642.39881708,985455.376611004
3926117.34402694,985149.192726696
3842821.50838377,982995.696109259
3856334.02760076,983581.746703767
3876478.33491269,983793.754546816
3930842.21033332,982843.068558597
3788736.53283185,983261.953642626
3797410.65039262,982758.15590432
3796749.34560778,981966.53589239
3868889.88792028,981869.987686591
3777370.72700949,981487.985059202
3791016.96637108,982013.359989342
3840414.98416167,981473.316679512
3873478.86540224,981092.686115317
3944854.04161384,981215.882555542
3801492.83077758,980702.717974183
3851010.47011908,979596.75182362
3885563.57281597,980270.397216384
3893112.21535882,979938.550549058
3755324.51246419,978448.572429362
3877629.36299473,978497.216282774
3790728.04604065,977771.993384072
3807583.07638025,978533.643409846
3878768.71061061,976617.94274125
3927636.17682289,977395.23380814
3787549.41785094,975725.835328454
3825865.42452262,975469.147512857
3860945.75627647,976405.221570261
3721748.04429724,975224.955813432
3847905.86814963,975581.008167132
3928001.09678979,976049.586069053
3794349.01662946,974460.059677443
3886087.14145458,973621.135437276
3889387.8017858,973112.493698279
3868402.99513156,972469.966368215
3879024.06965735,972918.647630989
3720848.76750726,972645.453010832
3760778.88907082,970794.900561503
3856198.30507862,971719.394535536
3725747.27500138,968576.015002214
3885489.41103439,969172.835752205
3886419.39553123,968947.613571839
3763943.50051473,967523.357389333
3795102.26739934,967505.611153059
3869153.38939036,966647.919926793
3819558.95268521,965902.129925202
3848862.58304293,966890.204966833
3873106.96478284,965484.410661745
3882413.71033294,965789.090104327
3926173.4148374,965661.58529975
3910562.31514869,965809.199788777
3943098.64808235,965406.234211247
3975842.37322369,965162.565467145
3782258.97899627,964148.684705701
3867137.94446277,964020.768462381
3954078.76629679,964393.178170417
3955776.30333848,964623.813599471
3698661.90539583,963366.520843552
3787305.89030306,962861.405336129
3801030.15127938,962714.925833737
3766334.00372975,962335.302640939
3812563.63158216,962578.269972175
3829517.15299965,962683.442508967
3857558.69379183,962857.171782243
3867176.53111424,962492.061100134
3908447.07485082,962286.176867767
3834739.40688555,961400.952232209
3944443.89374297,961703.096668076
3767364.7638791,960318.026443175
3847786.80664883,960811.096454321
3897181.53475987,960883.792900456
3776611.77958577,959561.74877404
3799763.38142455,959606.349002737
3818138.39724182,960489.977323143
3829788.70935389,959364.207181404
3761652.03671682,959414.162892653
3800562.20651625,959721.343103175
3819430.39308774,958559.985968278
3820470.9080932,960535.558362632
3862891.55538047,958704.904325946
3866831.84055567,958410.395001354
3874882.68361856,959625.161675751
3881507.12367678,959064.590251994
3813973.88369122,959112.439794317
3816085.22542594,957095.637557867
3772110.30733335,957401.195065512
3792951.05393185,956395.972092132
3803799.97786311,957199.906274274
3895025.18940563,956342.064840775
3910558.55986764,957042.781098274
3895758.72485717,956575.577587015
3902134.30831327,955581.055920471
3931644.88569941,956249.498861
3771010.82550272,955668.230108925
3832190.59031783,955229.302729572
3897805.79180729,955548.504946992
3909095.32023117,955385.227441291
3826698.77681615,953899.639728425
3907368.63525634,954945.09894498
3977423.09385866,954032.08024197
3992951.56003771,954947.580470715
3813716.33725908,952991.337675723
3880519.28016986,952615.563554186
3904547.07583055,951217.874779356
3802495.74677615,952119.605901271
3838218.55407698,951187.655760015
3872047.86244182,950212.097199941
3872885.09043393,951132.738444175
3732658.95987069,948683.337468099
3869982.53720894,948602.506276683
3921219.09484562,949457.460060902
3942157.8155137,948006.967606668
3778432.93036705,947583.196949414
3862359.5355535,947208.148841414
3748157.94768661,946917.406113248
3775393.98504277,946449.979024342
3813038.98467651,947790.172043298
3893600.71088628,946522.629669327
3957296.97321977,946601.11826368
3844688.05982809,945520.661575226
3865405.62390945,945457.6988215
3916876.04408331,946054.784535902
3855578.88734632,944796.649988644
3863977.41871439,945232.658901633
3825243.86779497,943653.941623391
3830287.08677718,944015.632564597
3857179.69462582,944125.661102444
3860202.25043622,944289.462417745
3881985.18800863,944189.676611007
3773050.75757934,942630.328304996
3779706.23135868,943199.799783493
3846271.85984337,943550.763818039
3760373.6869663,941891.720595042
3809084.90909142,941863.760915318
3912470.00491266,941838.552650051
3878444.77726518,940845.154306688
3930941.76995287,940911.955493413
3808451.92239296,940097.191328372
3827805.37950464,940633.581085861
